State,Year,University/College,Student_Enrollment,Violent_Crime,Property_Crime,Violent_Crime_Rate,Property_Crime_Rate
Georgia,2021,Mercer University,9933.0,2.0,41.0,0.2013490385583408,4.127655290445989
Georgia,2021,Middle Georgia State University,10155.0,3.0,28.0,0.2954209748892171,2.7572624322993597
Georgia,2021,Piedmont College ,3052.0,0.0,0.0,0.0,0.0
Georgia,2021,Southern Regional Technical College,6804.0,0.0,0.0,0.0,0.0
Georgia,2021,Spelman College,2190.0,0.0,0.0,0.0,0.0
Georgia,2021,University of Georgia,42941.0,17.0,372.0,0.3958920379124845,8.663049300202603
Georgia,2021,University of North Georgia,23141.0,4.0,11.0,0.1728533771228555,0.4753467870878527
Georgia,2021,University of West Georgia,15915.0,5.0,34.0,0.3141690229343387,2.1363493559535027
Georgia,2021,West Georgia Technical College,10089.0,0.0,2.0,0.0,0.1982357022499752
Georgia,2021,Young Harris College,1650.0,0.0,3.0,0.0,1.818181818181818
Georgia,2022,Abraham Baldwin Agricultural College,4735.0,1.0,32.0,0.2111932418162618,6.75818373812038
Georgia,2022,Agnes Scott College,1130.0,0.0,15.0,0.0,13.27433628318584
Georgia,2022,Athens Technical College,5778.0,0.0,0.0,0.0,0.0
Georgia,2022,Atlanta Technical College,4973.0,0.0,1.0,0.0,0.2010858636637844
Georgia,2022,Augusta Technical College,5549.0,0.0,3.0,0.0,0.5406379527842855
Georgia,2022,Augusta University,9979.0,4.0,116.0,0.4008417677121956,11.624411263653672
Georgia,2022,Berry College,2308.0,0.0,19.0,0.0,8.232235701906413
Georgia,2022,Clayton State University,8659.0,4.0,21.0,0.461947107056242,2.425222312045271
Georgia,2022,College of Coastal Georgia,4303.0,2.0,20.0,0.464792005577504,4.647920055775041
Georgia,2022,Columbus State University,10094.0,0.0,54.0,0.0,5.3497127006142255
Georgia,2022,Dalton State College,5513.0,0.0,0.0,0.0,0.0
Georgia,2022,Emory University,15201.0,18.0,274.0,1.1841326228537594,18.025129925662785
Georgia,2022,Fort Valley State University,3202.0,4.0,14.0,1.2492192379762648,4.372267332916927
Georgia,2022,Georgia College and State University,7914.0,4.0,28.0,0.5054334091483447,3.538033864038413
Georgia,2022,Georgia Gwinnett College,14559.0,0.0,24.0,0.0,1.6484648670925202
Georgia,2022,Georgia Highlands College,7367.0,0.0,5.0,0.0,0.6787023211619384
Georgia,2022,Georgia Institute of Technology,47787.0,10.0,332.0,0.2092619331617385,6.94749618096972
