State,Year,University/College,Campus,Student_Enrollment,Violent_Crime,Murder_and_nonnegligent_manslaughter,Rape2,Robbery,Aggravated_assault,Property_Crime,Burglary,Larceny-_theft,Motor_vehicle_theft,Arson3,Violent_Crime_Rate,Property_Crime_Rate
Illinois,2020,Joliet Junior College,,23030.0,3.0,0.0,0.0,0.0,3.0,,0.0,,0.0,0.0,0.1302648719062092,
Illinois,2020,Lake Land College,,17396.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Lewis University,,7875.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,
Illinois,2020,McHenry County College,,10941.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Morton College,,6951.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Northeastern Illinois University,,9993.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Northern Illinois University,,19437.0,6.0,0.0,2.0,1.0,3.0,,3.0,,1.0,1.0,0.3086896125945362,
Illinois,2020,Oakton Community College,,17553.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Rend Lake College,,4370.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Rock Valley College,,9920.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Southern Illinois University,School of Medicine6,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Illinois,2020,South Suburban College,,8839.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Southwestern Illinois College,,15299.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,
Illinois,2020,Triton College,,17385.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,University of Chicago,Cook County,19659.0,20.0,0.0,0.0,17.0,3.0,,12.0,,3.0,1.0,1.0173457449514218,
Illinois,2020,University of Illinois:,Chicago,34529.0,17.0,0.0,2.0,4.0,11.0,,19.0,,2.0,0.0,0.4923397723652581,
Illinois,2020,University of Illinois:,Urbana,54985.0,10.0,0.0,3.0,5.0,2.0,,7.0,,4.0,3.0,0.181867782122397,
Illinois,2020,Waubonsee Community College,,16110.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Indiana,2020,Indiana State University,,15388.0,14.0,0.0,0.0,0.0,14.0,68.0,1.0,65,2.0,,0.9097998440343124,4.419027813880946
Indiana,2020,Indiana University:,Kokomo,3786.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.2641310089804543
Indiana,2020,Indiana University:,South Bend,6168.0,1.0,0.0,0.0,0.0,1.0,15.0,2.0,13,0.0,1.0,0.1621271076523995,2.4319066147859925
Indiana,2020,Purdue University,,47412.0,3.0,0.0,3.0,0.0,0.0,231.0,20.0,205,6.0,,0.0632751202227284,4.872184257150089
Indiana,2020,University of Indianapolis,,6850.0,3.0,0.0,1.0,0.0,2.0,76.0,2.0,67,7.0,0.0,0.437956204379562,11.094890510948904
Iowa,2020,Iowa State University,,37944.0,3.0,0.0,2.0,0.0,1.0,104.0,11.0,87,6.0,0.0,0.0790638836179633,2.7408812987560616
Iowa,2020,University of Iowa,,35339.0,43.0,0.0,13.0,1.0,29.0,145.0,13.0,130,2.0,0.0,1.2167859871530038,4.103115538074083
Iowa,2020,University of Northern Iowa,,13040.0,5.0,0.0,3.0,0.0,2.0,26.0,1.0,25,0.0,0.0,0.3834355828220859,1.9938650306748469
Kansas,2020,Butler Community College,,12005.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.083298625572678,0.0
Kansas,2020,Garden City Community College,,2470.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3,0.0,0.0,0.0,1.6194331983805668
Kansas,2020,Kansas City Kansas Community College,,8463.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10,2.0,0.0,0.0,1.4179369018078696
Kansas,2020,Kansas State University,,24546.0,1.0,0.0,0.0,0.0,1.0,95.0,5.0,89,1.0,0.0,0.0407398354110649,3.8702843640511695
Kansas,2020,Pittsburg State University,,8009.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39,0.0,0.0,0.0,4.869521787988513
Kansas,2020,University of Kansas:,Main Campus,31088.0,2.0,0.0,1.0,0.0,1.0,81.0,5.0,70,6.0,0.0,0.0643335048893463,2.605506948018528
Kansas,2020,University of Kansas:,Medical Center6,,26.0,0.0,1.0,1.0,24.0,175.0,0.0,168,7.0,0.0,,
Kentucky,2020,Eastern Kentucky University,,18481.0,2.0,0.0,2.0,0.0,0.0,83.0,11.0,69,3.0,0.0,0.1082192522049672,4.491098966506142
Kentucky,2020,Morehead State University,,11462.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,16,0.0,0.0,0.0,1.4831617518757634
Kentucky,2020,Murray State University,,10714.0,2.0,0.0,2.0,0.0,0.0,26.0,3.0,22,1.0,0.0,0.1866716445771887,2.4267313795034533
Kentucky,2020,Northern Kentucky University,,17151.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,15,1.0,1.0,0.0,1.1078071249489825
Kentucky,2020,University of Kentucky,,30981.0,7.0,0.0,4.0,2.0,1.0,411.0,15.0,383,13.0,2.0,0.2259449339918014,13.266195410090056
Kentucky,2020,University of Louisville,,24770.0,13.0,0.0,1.0,8.0,4.0,191.0,17.0,157,17.0,4.0,0.5248284214775939,7.710940654016956
Kentucky,2020,Western Kentucky University,,23228.0,4.0,0.0,3.0,1.0,0.0,76.0,5.0,69,2.0,0.0,0.172205958326158,3.2719132081970033
Louisiana,2020,Delgado Community College,,20166.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2,0.0,0.0,0.0,0.1487652484379649
Louisiana,2020,Grambling State University,,5979.0,6.0,0.0,0.0,0.0,6.0,28.0,5.0,23,0.0,0.0,1.0035122930255895,4.683057367452752
